reviewcontent,reviewtype,topcritic,genres,productioncompany,movieinfo_rottentomatoeslink_movietitle
An icon of irreverent comic brilliance.,Fresh,False,Comedy,Warner Bros. Pictures,"Brian Cohen (Graham Chapman) is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother (Terry Jones), the hapless Brian has to contend with the pompous Pontius Pilate (Michael Palin) and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.m/monty_pythons_life_of_brianMonty Python's Life of Brian"
,Fresh,False,"Drama, Mystery & Suspense",Universal Pictures,"In 1928 Los Angeles, single mother Christine Collins (Angelina Jolie) arrives home to find her son, Walter, gone. Five months later her prayers are answered when Walter is found in Illinois. But to Christine's horror, the boy who steps off the train is not her son. Authorities vehemently dispute Christine's claim, and her one ally is a clergyman (John Malkovich) who sees the case as his chance to expose corruption in the Los Angeles Police Department and government.m/1191742_changelingChangeling"
300: Rise of an Empire only seems to exist to bolster the CGI blood industry.,Rotten,False,"Action & Adventure, Drama",Warner Bros. Pictures,"While King Leonidas and his 300 Spartans have their date with destiny at Thermopylae, another battle against the Persians is brewing, this time at sea. Themistocles (Sullivan Stapleton), a Greek general, sees the threat posed by the God-King Xerxes of Persia. He knows that he must unite all of Greece if he is to stand any chance of repelling the Persian invasion. Even if he accomplishes his mission, Themistocles must still face Artemisia (Eva Green), the ruthless leader of the Persian armada.m/300_rise_of_an_empire300: Rise of an Empire"
"There are so many forces beneath the surface, and the beauty of the dramatic design is the way it uses Marina as the constant swimmer, letting us see what those forces are in the way she reacts to each one.",Fresh,False,"Art House & International, Drama",Sony Pictures Classics,A transgender singer faces scorn and discrimination after the sudden death of her older boyfriend.m/a_fantastic_womanA Fantastic Woman (Una mujer fantástica)
"Tatum and Hill make for a fun duo, the former seemingly have the time of his life playing up the dumb hottie his succession of histrionic, corny roles have ultimately typecast him as.",Fresh,False,"Action & Adventure, Comedy",Sony Pictures,"When cops Schmidt (Jonah Hill) and Jenko (Channing Tatum) join the secret Jump Street unit, they use their youthful appearances to go under cover as high-school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.m/21_jump_street_201121 Jump Street"
Tatum and Hill steamroller any misgivings right from the start. They take a comedy connection that seemed doomed to fail - pairing Tatum's hunky command with Hill's nerdy neediness - and make it look like the most natural thing in the world.,Fresh,True,"Action & Adventure, Comedy",Sony Pictures,"When cops Schmidt (Jonah Hill) and Jenko (Channing Tatum) join the secret Jump Street unit, they use their youthful appearances to go under cover as high-school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.m/21_jump_street_201121 Jump Street"
"Although the humour is patchy, when the laughs hit they hit hard, slyly sending-up holiday season conventions...",Fresh,False,Comedy,Warner Bros. Pictures,"Six years after their last adventure, stoner pals Harold (John Cho) and Kumar (Kal Penn) have grown apart and found new friends. As each is busy making holiday preparations, a mysterious package mistakenly arrives on Kumar's doorstep. Unfortunately, Kumar's attempt to redirect the package to Harold goes up in smoke -- along with a prize Christmas tree belonging to Harold's father-in-law. The pair's journey across New York City to find a replacement tree threatens to blow Christmas Eve sky-high.m/very_harold_and_kumar_christmasA Very Harold & Kumar Christmas"
"Ultimately, 28 WEEKS LATER works on its own merits as a scary and enjoyable thrill ride.",Fresh,False,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Fox Atomic,"Six months after the original epidemic, the rage virus has all but annihilated the population of the British Isles. Nevertheless the U.S. Army declares the danger past, and American soldiers arrive to restore order and begin reconstruction. Refugees return to British soil, but one of them carries a deadly secret: The virus is not gone and is even more dangerous than before.m/28_weeks_later28 Weeks Later..."
50/50 mostly succeeds as a movie about a young man fighting cancer that doesn't give in to sap or sentiment.,Fresh,True,"Comedy, Drama",Summit Entertainment,"Adam Lerner (Joseph Gordon-Levitt) has always tried to take good care of his health, so it comes as a cruel surprise when he learns that he has malignant tumors along his spine. His doctor gives him a 50/50 chance of survival, but Adam tries to remain upbeat, though his mother (Anjelica Huston) and his friend Kyle (Seth Rogen), react badly to the news. Adam starts seeing a therapist (Anna Kendrick), but their relationship threatens to cross the boundary between doctor and patient.m/5050_201150/50"
Ludicrous plotting undermines the talented cast.,Rotten,False,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Fox Atomic,"Six months after the original epidemic, the rage virus has all but annihilated the population of the British Isles. Nevertheless the U.S. Army declares the danger past, and American soldiers arrive to restore order and begin reconstruction. Refugees return to British soil, but one of them carries a deadly secret: The virus is not gone and is even more dangerous than before.m/28_weeks_later28 Weeks Later..."
"If you are expecting to see buckets of blood, no less than 25+ slow motion shots and the angriest sex scene of all of 2014, then 300: Rise of an Empire will not disappoint!",Fresh,False,"Action & Adventure, Drama",Warner Bros. Pictures,"While King Leonidas and his 300 Spartans have their date with destiny at Thermopylae, another battle against the Persians is brewing, this time at sea. Themistocles (Sullivan Stapleton), a Greek general, sees the threat posed by the God-King Xerxes of Persia. He knows that he must unite all of Greece if he is to stand any chance of repelling the Persian invasion. Even if he accomplishes his mission, Themistocles must still face Artemisia (Eva Green), the ruthless leader of the Persian armada.m/300_rise_of_an_empire300: Rise of an Empire"
It's a fairly straightforward premise that's employed to pedestrian and mostly uninvolving effect...,Rotten,False,Drama,Warner Bros. Pictures,"When sleazy Paul Snider (Eric Roberts) stumbles upon pretty high school beauty Dorothy Stratten (Mariel Hemingway), he knows she is star material. Paul becomes her manager and husband, and under his guidance Dorothy grows to fame as a Playboy Playmate. But when Dorothy begins pursuing an acting career, the jealous Paul finds himself elbowed out of the picture by more famous men. Dorothy's career rises as Paul's mental state declines, leading ultimately to tragedy.m/star_80Star 80"
"Danny Boyle's new shocker is intense, disturbing, thought-provoking and clearly the horror movie of the year.",Fresh,False,"Horror, Science Fiction & Fantasy",Fox Searchlight Pictures,"""A group of misguided animal rights activists free a caged chimp infected with the """"Rage"""" virus from a medical research lab. When London bike courier Jim (Cillian Murphy) wakes up from a coma a month afterm/28_days_later28 Days Later"
"Definitely the best film by Gore Verbinski; Which is also, fortunately, it's the most risky and radical of his career. [Full review in Spanish]",Fresh,False,Mystery & Suspense,20th Century Fox,A Wall Street stockbroker (Dane DeHaan) travels to a remote location in the Swiss Alps to retrieve his company's CEO (Harry Groener) from an idyllic but mysterious wellness center. He soon suspects that the miraculous treatments are not what they seem. His sanity is tested when he unravels the spa's terrifying secrets and finds himself diagnosed with the same curious illness that keeps all of the guests there longing for a cure.m/a_cure_for_wellnessA Cure For Wellness
,Rotten,False,Comedy,Warner Bros. Pictures,"As the leader of a struggling Wild West show, Bronco Billy (Clint Eastwood) gives it his all to keep his entertainers' spirits high despite the declining public interest. While on tour, Billy encounters Antoinette Lily (Sondra Locke), a spoiled, newlywed heiress who was recently deserted by her scheming husband, John Arlington (Geoffrey Lewis). After some convincing, Lily decides to join the troupe as Billy's assistant but, much to the crew's displeasure, she seems to bring only bad luck.m/bronco_billyBronco Billy"
"The film ages DiCaprio convincingly, Hammer less so. Still, Hammer almost steals the show. While DiCaprio has some noteworthy scenes, it's tough to forget it's the actor playing Hoover. In contrast, Hammer and Watts disappear into more subtle roles.",Fresh,True,Drama,Warner Bros. Pictures,"As head of the FBI for nearly 50 years, J. Edgar Hoover (Leonardo DiCaprio) becomes one of America's most-powerful men. Serving through eight presidents and three wars, Hoover utilizes methods both ruthless and heroic to keep his country safe. Projecting a guarded persona in public and in private, he lets few into his inner circle. Among those closest to him are his protege and constant companion, Clyde Tolson (Armie Hammer), and Helen Gandy (Naomi Watts), his loyal secretary.m/j_edgarJ. Edgar"
An important and touching reminder that so many are still dealing with their loss.,Fresh,False,Drama,Warner Bros. Pictures,"Oskar (Thomas Horn), who lost his father (Tom Hanks) in the 9/11 attack on the World Trade Center, is convinced that his dad left a final message for him somewhere in the city. Upon finding a mysterious key in his father's closet, Oskar sets out in search of the lock it fits. Feeling disconnected from his grieving mother (Sandra Bullock) and driven by a tirelessly active mind, Oskar has a journey of discovery that takes him beyond his loss and leads to a greater understanding of the world.m/extremely_loud_and_incredibly_closeExtremely Loud & Incredibly Close"
"Sentimental, even a bit treacly, but it's also appealing and full of warmth. And it's probably [Burton's] best film.",Fresh,False,"Comedy, Drama",Sony Pictures,"When Edward Bloom (Albert Finney) becomes ill, his son, William (Billy Crudup), travels to be with him. William has a strained relationship with Edward because his father has always told exaggerated stories about his life, and William thinks he's never really told the truth. Even on his deathbed, Edward recounts fantastical anecdotes. When William, who is a journalist, starts to investigate his father's tales, he begins to understand the man and his penchant for storytelling.m/1127787-big_fishBig Fish"
"Although this comedy has been getting more praise than it deserves, it is nevertheless a solid, funny comedy.",Fresh,False,Comedy,Warner Bros. Pictures,"When doctors tell a mob boss (Robert De Niro) that he is suffering from anxiety attacks, he seeks the help of Ben, a therapist (Billy Crystal), who is manipulated into treating him, with hysterical results. Just as Ben and his fiancée (Lisa Kudrow) are about to wed, they are faced with a mobster who won't take no for an answer.m/analyze_thisAnalyze This"
"You will watch much of Crash in dread. That's not so much because you know things are going to get worse -- they do -- before they get better, but because you know Haggis is getting to the nut of things.",Fresh,True,Drama,Lions Gate Films,"Writer-director Paul Haggis interweaves several connected stories about race, class, family and gender in Los Angeles in the aftermath of 9/11. Characters include a district attorney (Brendan Fraser) and his casually prejudiced wife (Sandra Bullock), dating police detectives Graham (Don Cheadle) and Ria (Jennifer Esposito), a victimized Middle Eastern store owner and a wealthy African-American couple (Terrence Dashon Howard, Thandie Newton) humiliated by a racist traffic cop (Matt Dillon).m/1144992-crashCrash"
This really is the schlockiest and cringiest sequel ever.,Rotten,False,"Action & Adventure, Drama",Warner Bros. Pictures,"While King Leonidas and his 300 Spartans have their date with destiny at Thermopylae, another battle against the Persians is brewing, this time at sea. Themistocles (Sullivan Stapleton), a Greek general, sees the threat posed by the God-King Xerxes of Persia. He knows that he must unite all of Greece if he is to stand any chance of repelling the Persian invasion. Even if he accomplishes his mission, Themistocles must still face Artemisia (Eva Green), the ruthless leader of the Persian armada.m/300_rise_of_an_empire300: Rise of an Empire"
"Shamelessly manipulative, prone to mawkish sentimentality and let down by an ending that fails to ring true and feels like a cop-out.",Rotten,False,Drama,Warner Bros. Pictures,"Oskar (Thomas Horn), who lost his father (Tom Hanks) in the 9/11 attack on the World Trade Center, is convinced that his dad left a final message for him somewhere in the city. Upon finding a mysterious key in his father's closet, Oskar sets out in search of the lock it fits. Feeling disconnected from his grieving mother (Sandra Bullock) and driven by a tirelessly active mind, Oskar has a journey of discovery that takes him beyond his loss and leads to a greater understanding of the world.m/extremely_loud_and_incredibly_closeExtremely Loud & Incredibly Close"
"We're left to wonder, who in the Vatican can really be trusted? And also, will Ron Howard continue to make movies about a character who comes alive on the page, but sputters on the big screen?",Rotten,True,"Drama, Mystery & Suspense",Sony/Columbia Pictures,"When Harvard symbologist Robert Langdon discovers the resurgence of an ancient brotherhood known as the Illuminati, he flies to Rome to warn the Vatican, the Illuminati's most hated enemy. Joining forces with beautiful Italian scientist Vittoria Vetra (Ayelet Zurer), Langdon follows a centuries-old trail of ancient symbols in the hope of preventing the Illuminati's deadly plot against the Roman Catholic Church from coming to fruition.m/1189217-angels_and_demonsAngels & Demons"
Aggressive in its insistence on being as awful as possible.,Rotten,False,Comedy,Warner Bros. Pictures,"On the last day before summer vacation, high school teacher Andy Campbell tries his best to keep it together amid senior pranks, a dysfunctional administration and budget cuts that threaten his job. Things go from bad to worse when he crosses Ron Strickland, the school's toughest and most feared teacher. When Strickland gets fired, he challenges Campbell to a fight after school. As news of the showdown spreads like wildfire, poor Andy desperately seeks any way out of his date with certain doom.m/fist_fight_2017Fist Fight"
"Impeccably acted, scored and edited, Boyle's film hits to the jugular like an uppercut from a heavyweight champion leaving me more than a bit cowered by the time of its bittersweet coda.",Fresh,False,"Horror, Science Fiction & Fantasy",Fox Searchlight Pictures,"""A group of misguided animal rights activists free a caged chimp infected with the """"Rage"""" virus from a medical research lab. When London bike courier Jim (Cillian Murphy) wakes up from a coma a month afterm/28_days_later28 Days Later"
"Skimming pleasantly enough along the surface of more potentially roiling drama, and lacking an inner boil, 42 is a biopic of carefully crafted but ultimately superficial uplift.",Fresh,False,Drama,Warner Bros. Pictures,"In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.m/42_201342"
"Could be a battle of wits and wills. Instead, it's a battle to stay awake.",Rotten,False,"Action & Adventure, Drama",Universal Studios,"Depression-era bank robber John Dillinger's (Johnny Depp) charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover (Billy Crudup) and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis (Christian Bale), the task of bringing him in dead or alive.m/10009526-public_enemiesPublic Enemies"
"Moviegoers can take or leave the message beneath the mayhem, but what's on the surface for everyone to enjoy is an expertly crafted terror tale that's heavy on the jolts.",Fresh,False,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Fox Atomic,"Six months after the original epidemic, the rage virus has all but annihilated the population of the British Isles. Nevertheless the U.S. Army declares the danger past, and American soldiers arrive to restore order and begin reconstruction. Refugees return to British soil, but one of them carries a deadly secret: The virus is not gone and is even more dangerous than before.m/28_weeks_later28 Weeks Later..."
"""A visual knockout, a gripping war drama, a relentless action picture, a great """"video game movie not based on a video game"""" and an ironic inversion of the 'Lord of the Rings.'""",Fresh,False,Drama,Universal Pictures,"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.m/1917_20191917"
,Fresh,False,Comedy,Warner Bros. Pictures,"When a no-nonsense LAPD detective (Robert De Niro) is forced to star in a reality-based television show with a frustrated actor-turned-LAPD-patrolman (Eddie Murphy), they find their lives turned upside down by a powerhouse producer (Rene Russo) and her very intrusive camera crew.m/1113375-showtimeShowtime"
"""It's no """"Heat."""" For skirting the lawman's story",Fresh,False,"Action & Adventure, Drama",Universal Studios,"Depression-era bank robber John Dillinger's (Johnny Depp) charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover (Billy Crudup) and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis (Christian Bale), the task of bringing him in dead or alive.m/10009526-public_enemiesPublic Enemies"
The rare follow-up that improves on its predecessor...consistently amusing and sometimes hilarious.,Fresh,False,"Action & Adventure, Comedy",Sony Pictures,"Although they made their way through high school successfully, an investigation at a local college brings big changes for undercover officers Jenko (Channing Tatum) and Schmidt (Jonah Hill). When Jenko meets a kindred spirit on the football team and Schmidt infiltrates the bohemian art-major scene, both men begin to question their partnership. Not only do they have to crack the case, but now the two overgrown adolescents must learn how to behave like adults.m/22_jump_street22 Jump Street"
"Billy Crystal could turn ""Othello"" into an insipid, feel-good movie.",Rotten,False,Comedy,Warner Bros. Pictures,"When doctors tell a mob boss (Robert De Niro) that he is suffering from anxiety attacks, he seeks the help of Ben, a therapist (Billy Crystal), who is manipulated into treating him, with hysterical results. Just as Ben and his fiancée (Lisa Kudrow) are about to wed, they are faced with a mobster who won't take no for an answer.m/analyze_thisAnalyze This"
A fascinating portrayal of a truly complicated and often unlikeable man.,Fresh,False,Drama,Warner Bros. Pictures,"As head of the FBI for nearly 50 years, J. Edgar Hoover (Leonardo DiCaprio) becomes one of America's most-powerful men. Serving through eight presidents and three wars, Hoover utilizes methods both ruthless and heroic to keep his country safe. Projecting a guarded persona in public and in private, he lets few into his inner circle. Among those closest to him are his protege and constant companion, Clyde Tolson (Armie Hammer), and Helen Gandy (Naomi Watts), his loyal secretary.m/j_edgarJ. Edgar"
"After mugging us with racial disintegration, Haggis attempts an infusion of hope.",Fresh,False,Drama,Lions Gate Films,"Writer-director Paul Haggis interweaves several connected stories about race, class, family and gender in Los Angeles in the aftermath of 9/11. Characters include a district attorney (Brendan Fraser) and his casually prejudiced wife (Sandra Bullock), dating police detectives Graham (Don Cheadle) and Ria (Jennifer Esposito), a victimized Middle Eastern store owner and a wealthy African-American couple (Terrence Dashon Howard, Thandie Newton) humiliated by a racist traffic cop (Matt Dillon).m/1144992-crashCrash"
"A fine drama which throws no curves, allowing for an easy hit. You'll be hard-pressed to not feel inspired by film's end.",Fresh,False,Drama,Warner Bros. Pictures,"In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.m/42_201342"
"For once, cranking out a play-it-safe sequel yields something satisfying.",Fresh,True,"Action & Adventure, Comedy",Sony Pictures,"Although they made their way through high school successfully, an investigation at a local college brings big changes for undercover officers Jenko (Channing Tatum) and Schmidt (Jonah Hill). When Jenko meets a kindred spirit on the football team and Schmidt infiltrates the bohemian art-major scene, both men begin to question their partnership. Not only do they have to crack the case, but now the two overgrown adolescents must learn how to behave like adults.m/22_jump_street22 Jump Street"
"Ironically, the most valuable player here is Harrison Ford, giving one of the best performances of his career as Brooklyn Dodgers manager Branch Rickey.",Fresh,True,Drama,Warner Bros. Pictures,"In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.m/42_201342"
... a thin and uninspired suburban satire that's more obnoxious than amusing.,Rotten,False,Comedy,Warner Bros. Pictures,"Scott and Kate Johansen must figure out a way to earn some money after their daughter's scholarship falls through. When all else fails, the desperate couple join forces with their neighbor Frank to start an underground casino in his home. As the cash rolls in and the good times fly, Scott and Kate soon learn that they may have bitten off more than they can chew.m/the_house_2017The House"
"... one of those movies that derives power from its simplicity, conveying the discrimination against its transgender heroine in a way culls from a long history of such portrayals and yet somehow manages to feel fresh and relevant",Fresh,True,"Art House & International, Drama",Sony Pictures Classics,A transgender singer faces scorn and discrimination after the sudden death of her older boyfriend.m/a_fantastic_womanA Fantastic Woman (Una mujer fantástica)
Complete codswallop but perversely entertaining.,Fresh,False,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Sony Pictures/Columbia,"Earth's billions of inhabitants are unaware that the planet has an expiration date. With the warnings of an American scientist (Chiwetel Ejiofor), world leaders begin secret preparations for the survival of select members of society. When the global cataclysm finally occurs, failed writer Jackson Curtis (John Cusack) tries to lead his family to safety as the world starts falling apart.m/20122012"
"Although this film contains terrific music, after the first 45 minutes, I found myself fighting to stay awake. Unfortunately, it was a fight I won.",Rotten,False,Comedy,Warner Bros. Pictures,"Hard times have fallen on Pacashau, Ga., but the townspeople have faith that the Divinity Church Choir will lift their spirits by winning a national competition. The choir has always made beautiful music, but now, its two leading ladies have hit a sour note. Vi Rose (Queen Latifah) believes that a traditional style is the key to victory, but G.G. (Dolly Parton) thinks tried-and-true means tired-and-old. The two singers must find a harmonious chord or risk losing everything.m/joyful_noise_2011Joyful Noise"
A predictable but stirring underdog story that's less po-faced than it initially threatens to be.,Fresh,False,Drama,Warner Bros. Pictures,"In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.m/42_201342"
"Dunst is the movie's strongest and weakest element. Her natural charm carries us through the scenery, at the same time her distinct Americanness rings false in every scene.",Fresh,False,"Documentary, Drama",Sony Pictures,"An Austrian teenager (Kirsten Dunst) marries the Dauphin (Jason Schwartzman) of France and becomes that country's queen following the death of King Louis XV (Judy Davis) in 1774. Years later, after a life of luxury and privilege, Marie Antoinette loses her head during the French Revolution.m/1158195-marie_antoinetteMarie Antoinette"
"This will infuriate some viewers, but the director is making a point, about time, how quickly it passes, and how casually and mindlessly we squander it.",Fresh,False,Drama,Ideaman Studios,"A passionate young couple, unexpectedly separated by a shocking loss, discover an eternal connection and a love that is infinite.m/a_ghost_storyA Ghost Story"
J Edgar and Incomplete Portrait,Rotten,False,Drama,Warner Bros. Pictures,"As head of the FBI for nearly 50 years, J. Edgar Hoover (Leonardo DiCaprio) becomes one of America's most-powerful men. Serving through eight presidents and three wars, Hoover utilizes methods both ruthless and heroic to keep his country safe. Projecting a guarded persona in public and in private, he lets few into his inner circle. Among those closest to him are his protege and constant companion, Clyde Tolson (Armie Hammer), and Helen Gandy (Naomi Watts), his loyal secretary.m/j_edgarJ. Edgar"
"Cohen just can't seem to make the tonal shifts work, and the film falls prey to some cringe-inducing scenes in its second half.",Rotten,False,Comedy,Warner Bros. Pictures,"Scott and Kate Johansen must figure out a way to earn some money after their daughter's scholarship falls through. When all else fails, the desperate couple join forces with their neighbor Frank to start an underground casino in his home. As the cash rolls in and the good times fly, Scott and Kate soon learn that they may have bitten off more than they can chew.m/the_house_2017The House"
42 a Fitting Tribute to Robinson's Grit,Fresh,False,Drama,Warner Bros. Pictures,"In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.m/42_201342"
"It's just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer, squad car pile-ups and the requisite screaming captain.",Rotten,False,Comedy,Warner Bros. Pictures,"When a no-nonsense LAPD detective (Robert De Niro) is forced to star in a reality-based television show with a frustrated actor-turned-LAPD-patrolman (Eddie Murphy), they find their lives turned upside down by a powerhouse producer (Rene Russo) and her very intrusive camera crew.m/1113375-showtimeShowtime"
It's a Mel Brooks kind of Jewish joke film made by gentiles.,Fresh,False,Comedy,Warner Bros. Pictures,"Brian Cohen (Graham Chapman) is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother (Terry Jones), the hapless Brian has to contend with the pompous Pontius Pilate (Michael Palin) and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.m/monty_pythons_life_of_brianMonty Python's Life of Brian"
"The first half of this road-trip comedy is a rollicking good time, but the energy flags when it takes a sudden detour into more dramatic territory.",Rotten,False,Comedy,Universal Pictures,"An ambitious executive at a record company, Aaron Green (Jonah Hill) gets what looks like an easy assignment: He must escort British rock legend Aldous Snow (Russell Brand) to L.A.'s Greek Theatre for the first stop on a lucrative comeback-concert tour. Snow, however, has different plans. Learning his true love is in California, the rocker vows to win her back before starting the tour, forcing Aaron to pull out all the stops to get Snow on stage in time.m/1212410-get_him_to_the_greekGet Him to the Greek"
Throw Smoochy from the train!,Rotten,False,Comedy,Warner Bros. Pictures,"Tells the story of Rainbow Randolph (Robin Williams), the corrupt, costumed star of a popular children's TV show, who is fired over a bribery scandal and replaced by squeaky-clean Smoochy (Edward Norton), a puffy fuscia rhinoceros. As Smoochy catapults to fame - scoring hit ratings and the affections of a network executive (Catherine Keener) - Randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as America's sweetheart.m/death_to_smoochyDeath to Smoochy"
"Perfectly played, simultaneously serious and light, endlessly inventive, this is a strong contender for the most original date movie of the year. (Terrific) stuff.",Fresh,False,"Comedy, Drama, Romance",Fox Searchlight Pictures,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.m/500_days_of_summer500 Days of Summer"
"The movie gives us good reason to ask why we've become so accustomed to adults behaving like invulnerable comic-book characters in pretty much every action movie, even those with serious pretensions.",Fresh,False,"Action & Adventure, Comedy, Drama",Lionsgate,"""Using his love for comics as inspiration, teenager Dave Lizewski (Aaron Johnson) decides to reinvent himself as a superhero -- despite a complete lack of special powers. Dave dons a costume, dubs himself """"Kick-Assm/1217700-kick_assKick-Ass"
"The story is robust enough to survive the theme-park treatment, and for the most part it's a very good ride, with a welcome note of actual Christmas caroling spirit.",Fresh,False,"Animation, Drama, Kids & Family, Science Fiction & Fantasy",Walt Disney Studios,"Though London awaits the joyful arrival of Christmas, miserly Ebenezer Scrooge (Jim Carrey) thinks it's all humbug, berating his faithful clerk and cheerful nephew for their view. Later, Scrooge encounters the ghost of his late business partner, who warns that three spirits will visit him this night. The ghosts take Scrooge on a journey through his past, present and future in the hope of transforming his bitterness.m/10008502-christmas_carolDisney's A Christmas Carol"
"As a war epic, 1917 is rather more low-key than the Sturm und Drang typical of the genre: the film's strength lies in its eerier passages, which linger in the mind with a sense of reflection.",Fresh,False,Drama,Universal Pictures,"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.m/1917_20191917"
Why does Roland Emmerich enjoy killing off humanity?,Rotten,False,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Sony Pictures/Columbia,"Earth's billions of inhabitants are unaware that the planet has an expiration date. With the warnings of an American scientist (Chiwetel Ejiofor), world leaders begin secret preparations for the survival of select members of society. When the global cataclysm finally occurs, failed writer Jackson Curtis (John Cusack) tries to lead his family to safety as the world starts falling apart.m/20122012"
"George Clooney's second directorial outing couldn't be more topical, though the events it chronicles occurred over half a century ago.",Fresh,True,Drama,Warner Independent Pictures,"""When Senator Joseph McCarthy begins his foolhardy campaign to root out Communists in America, CBS News impresario Edward R. Murrow (David Strathairn) dedicates himself to exposing the atrocities being committed by McCarthy's Senate """"investigation."""" Murrow is supported by a news team that includes long-time friend and producer Fred Friendly (George Clooney). The CBS team does its best to point out the senator's lies and excessesm/1152019-good_night_and_good_luckGood Night, And Good Luck"
... An eloquent cautionary tale...,Fresh,False,Drama,Warner Independent Pictures,"""When Senator Joseph McCarthy begins his foolhardy campaign to root out Communists in America, CBS News impresario Edward R. Murrow (David Strathairn) dedicates himself to exposing the atrocities being committed by McCarthy's Senate """"investigation."""" Murrow is supported by a news team that includes long-time friend and producer Fred Friendly (George Clooney). The CBS team does its best to point out the senator's lies and excessesm/1152019-good_night_and_good_luckGood Night, And Good Luck"
1917 is a great film. [Full Review in Spanish],Fresh,False,Drama,Universal Pictures,"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.m/1917_20191917"
